,motif Proteins, all proteins
arabidopsis_thaliana_TaxID_3702_R_unreviewed.tsv,929,113697
drosophila_melanogaster_TaxID_7227_R_no.tsv,2279,38917
danio_rerio_TaxID_7955_R_unreviewed.tsv,507,58868
homo_sapiens_TaxID_9606_R_yes.tsv,1401,20408
saccharomyces_cerevisiae_TaxID_559292_R_reviewed.tsv,67,6721
nematostella_vectensis_TaxID_45351_R_no.tsv,1330,25030
callorhinchus_milii_TaxID_7868_R_no.tsv,1120,20018
saccharomyces_cerevisiae_TaxID_559292_R_yes.tsv,315,6721
monosiga_brevicollis_TaxID_81824_R_unreviewed.tsv,78,9240
drosophila_melanogaster_TaxID_7227_R_unreviewed.tsv,317,39075
bos_taurus_TaxID_9913_R_unreviewed.tsv,323,40486
rattus_norvegicus_TaxID_10116_R_unreviewed.tsv,210,28058
escherichia_coli_TaxID_83333_R_reviewed.tsv,13,4518
danio_rerio_TaxID_7955_R_no.tsv,4218,59006
caenorhabditis_elegans_TaxID_6239_R_unreviewed.tsv,231,23499
arabidopsis_thaliana_TaxID_3702_R_no.tsv,4025,73424
gallus_gallus_TaxID_9031_R_unreviewed.tsv,210,32436
Monosiga_brevicollis_TaxID_81824_R_no.tsv,756,9240
caenorhabditis_elegans_TaxID_6239_R_no.tsv,1569,23618
dictyostelium_discoideum_TaxID_44689_R_unreviewed.tsv,102,8976
xenopus_tropicalis_TaxID_8364_R_no.tsv,2151,34716
bos_taurus_TaxID_9913_R_no.tsv,1668,26501
callorhinchus_milii_TaxID_7868_R_unreviewed.tsv,603,66454
dictyostelium_discoideum_TaxID_44689_R_no.tsv,362,8978
escherichia_coli_TaxID_83333_R_yes.tsv,120,4477
gallus_gallus_TaxID_9031_R_no.tsv,2305,34175
mus_musculus_TaxID_10090_R_no.tsv,4085,68186
mus_musculus_TaxID_10090_R_unreviewed.tsv,514,69415
rattus_norvegicus_TaxID_10116_R_no.tsv,1867,28036
nematostella_vectensis_TaxID_45351_R_unreviewed.tsv,185,25036
homo_sapiens_TaxID_9606_R_reviewed.tsv,173,20361
